Louvain_cluster,Cluster_Label,Cluster_Index,Celltype,Stage
13797,S14-somite,14,somite,S14
13798,S14-neuroendocrine cell,22,neuroendocrine cell,S14
13799,S14-goblet cell,20,goblet cell,S14
13800,S14-neural crest,24,neural crest,S14
13801,S14-chordal neural plate,6,chordal neural plate,S14
13802,S14-eye primordium,9,eye primordium,S14
13803,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13804,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13805,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13806,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13807,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13808,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13809,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13810,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13811,S14-early neuron,2,early neuron,S14
13812,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13813,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13814,S14-early neuron,2,early neuron,S14
13815,S14-posterior placodal area,18,posterior placodal area,S14
13816,S14-tail bud,3,tail bud,S14
13817,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13818,S14-epidermal - collagen,10,epidermal - collagen,S14
13819,S14-eye primordium,9,eye primordium,S14
13820,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13821,S14-epidermal - collagen,10,epidermal - collagen,S14
13822,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13823,S14-epidermal - collagen,10,epidermal - collagen,S14
13824,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
13825,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13826,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13827,S14-small secretory cells,12,small secretory cells,S14
13828,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13829,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13830,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13831,S14-tail bud,3,tail bud,S14
13832,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13833,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13834,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13835,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13836,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13837,S14-anterior placodal area,19,anterior placodal area,S14
13838,S14-epidermal - collagen,10,epidermal - collagen,S14
13839,S14-neural crest,24,neural crest,S14
13840,S14-posterior placodal area,18,posterior placodal area,S14
13841,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13842,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13843,S14-early neuron,2,early neuron,S14
13844,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13845,S14-neural crest,24,neural crest,S14
13846,S14-notochord,28,notochord,S14
13847,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
13848,S14-somite,14,somite,S14
13849,S14-tail bud,3,tail bud,S14
13850,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13851,S14-somite,14,somite,S14
13852,S14-early neuron,2,early neuron,S14
13853,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13854,S14-somite,14,somite,S14
13855,S14-eye primordium,9,eye primordium,S14
13856,S14-tail bud,3,tail bud,S14
13857,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13858,S14-ciliated epidermal progenitor,13,ciliated epidermal progenitor,S14
13859,S14-neuroendocrine cell,22,neuroendocrine cell,S14
13860,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13861,S14-somite,14,somite,S14
13862,S14-eye primordium,9,eye primordium,S14
13863,S14-migrating myeloid progenitors,17,migrating myeloid progenitors,S14
13864,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13865,S14-epidermal - collagen,10,epidermal - collagen,S14
13866,S14-endoderm,25,endoderm,S14
13867,S14-notochord,28,notochord,S14
13868,S14-tail bud,3,tail bud,S14
13869,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13870,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13871,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13872,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13873,S14-epidermal - collagen,10,epidermal - collagen,S14
13874,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13875,S14-neural crest,24,neural crest,S14
13876,S14-presomitic mesoderm,27,presomitic mesoderm,S14
13877,S14-anterior placodal area,19,anterior placodal area,S14
13878,S14-notochord,28,notochord,S14
13879,S14-somite,14,somite,S14
13880,S14-tail bud,3,tail bud,S14
13881,S14-small secretory cells,12,small secretory cells,S14
13882,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13883,S14-posterior placodal area,18,posterior placodal area,S14
13884,S14-tail bud,3,tail bud,S14
13885,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13886,S14-early neuron,2,early neuron,S14
13887,S14-eye primordium,9,eye primordium,S14
13888,S14-early neuron,2,early neuron,S14
13889,S14-early neuron,2,early neuron,S14
13890,S14-Spemann organizer (endoderm),29,Spemann organizer (endoderm),S14
13891,S14-ionocyte,21,ionocyte,S14
13892,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13893,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13894,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13895,S14-lateral plate mesoderm,23,lateral plate mesoderm,S14
13896,S14-intermediate mesoderm,15,intermediate mesoderm,S14
13897,S14-tail bud,3,tail bud,S14
